ID;TRADEDATE;CLOSE
RUCBITR;26.02.2003;107,37
RUCBITR;27.02.2003;107,49
RUCBITR;28.02.2003;107,56
RUCBITR;03.03.2003;107,7
RUCBITR;04.03.2003;107,81
RUCBITR;05.03.2003;108
RUCBITR;06.03.2003;108,7
RUCBITR;07.03.2003;108,63
RUCBITR;11.03.2003;109,11
RUCBITR;12.03.2003;109,4
RUCBITR;13.03.2003;109,92
RUCBITR;14.03.2003;110,18
RUCBITR;17.03.2003;109,21
RUCBITR;18.03.2003;108,61
RUCBITR;19.03.2003;108,16
RUCBITR;20.03.2003;107,91
RUCBITR;21.03.2003;108,56
RUCBITR;24.03.2003;108,71
RUCBITR;25.03.2003;108,98
RUCBITR;26.03.2003;109,27
RUCBITR;27.03.2003;109,57
RUCBITR;28.03.2003;109,7
RUCBITR;31.03.2003;109,7
RUCBITR;01.04.2003;110,05
RUCBITR;02.04.2003;110,46
RUCBITR;03.04.2003;110,37
RUCBITR;04.04.2003;110,52
RUCBITR;07.04.2003;110,2
RUCBITR;08.04.2003;110,44
RUCBITR;09.04.2003;110,61
RUCBITR;10.04.2003;110,76
RUCBITR;11.04.2003;110,91
RUCBITR;14.04.2003;111,16
RUCBITR;15.04.2003;111,23
RUCBITR;16.04.2003;111,28
RUCBITR;17.04.2003;111,54
RUCBITR;18.04.2003;111,79
RUCBITR;21.04.2003;112
RUCBITR;22.04.2003;112,25
RUCBITR;23.04.2003;112,54
RUCBITR;24.04.2003;112,89
RUCBITR;25.04.2003;112,74
RUCBITR;28.04.2003;112,71
RUCBITR;29.04.2003;112,63
RUCBITR;30.04.2003;112,92
RUCBITR;05.05.2003;113,11
RUCBITR;06.05.2003;113,15
RUCBITR;07.05.2003;113,28
RUCBITR;08.05.2003;113,45
RUCBITR;12.05.2003;113,64
RUCBITR;13.05.2003;113,79
RUCBITR;14.05.2003;113,96
RUCBITR;15.05.2003;114,08
RUCBITR;16.05.2003;114,22
RUCBITR;19.05.2003;113,54
RUCBITR;20.05.2003;113,57
RUCBITR;21.05.2003;113,5
RUCBITR;22.05.2003;113,41
RUCBITR;23.05.2003;113,52
RUCBITR;26.05.2003;113,33
RUCBITR;27.05.2003;113,31
RUCBITR;28.05.2003;113,38
RUCBITR;29.05.2003;113,29
RUCBITR;30.05.2003;113,04
RUCBITR;02.06.2003;113,01
RUCBITR;03.06.2003;113,06
RUCBITR;04.06.2003;113,26
RUCBITR;05.06.2003;113,39
RUCBITR;06.06.2003;113,46
RUCBITR;09.06.2003;113,66
RUCBITR;10.06.2003;113,69
RUCBITR;11.06.2003;113,7
RUCBITR;16.06.2003;113,74
RUCBITR;17.06.2003;113,56
RUCBITR;18.06.2003;113,52
RUCBITR;19.06.2003;113,3
RUCBITR;20.06.2003;113,12
RUCBITR;21.06.2003;113,12
RUCBITR;23.06.2003;112,76
RUCBITR;24.06.2003;113,08
RUCBITR;25.06.2003;113,18
RUCBITR;26.06.2003;112,83
RUCBITR;27.06.2003;112,82
RUCBITR;30.06.2003;112,78
RUCBITR;01.07.2003;112,81
RUCBITR;02.07.2003;112,74
RUCBITR;03.07.2003;112,99
RUCBITR;04.07.2003;113,07
RUCBITR;07.07.2003;113,02
RUCBITR;08.07.2003;112,62
RUCBITR;09.07.2003;112,37
RUCBITR;10.07.2003;112,32
RUCBITR;11.07.2003;112,33
RUCBITR;14.07.2003;111,65
RUCBITR;15.07.2003;111,33
RUCBITR;16.07.2003;110,57
RUCBITR;17.07.2003;111,2
RUCBITR;18.07.2003;111,17
RUCBITR;21.07.2003;111,57
RUCBITR;22.07.2003;111,53
RUCBITR;23.07.2003;111,58
RUCBITR;24.07.2003;111,65
RUCBITR;25.07.2003;111,79
RUCBITR;28.07.2003;111,81
RUCBITR;29.07.2003;111,66
RUCBITR;30.07.2003;111,81
RUCBITR;31.07.2003;112,09
RUCBITR;01.08.2003;111,88
RUCBITR;04.08.2003;112,02
RUCBITR;05.08.2003;112,02
RUCBITR;06.08.2003;112,02
RUCBITR;07.08.2003;112,02
RUCBITR;08.08.2003;112,09
RUCBITR;11.08.2003;112,18
RUCBITR;12.08.2003;112,11
RUCBITR;13.08.2003;112,06
RUCBITR;14.08.2003;112,07
RUCBITR;15.08.2003;111,97
RUCBITR;18.08.2003;111,82
RUCBITR;19.08.2003;111,7
RUCBITR;20.08.2003;111,77
RUCBITR;21.08.2003;111,84
RUCBITR;22.08.2003;111,96
RUCBITR;25.08.2003;112,04
RUCBITR;26.08.2003;111,99
RUCBITR;27.08.2003;112,06
RUCBITR;28.08.2003;112,13
RUCBITR;29.08.2003;112,22
RUCBITR;01.09.2003;112,45
RUCBITR;02.09.2003;112,44
RUCBITR;03.09.2003;112,44
RUCBITR;04.09.2003;112,36
RUCBITR;05.09.2003;112,3
RUCBITR;08.09.2003;112,33
RUCBITR;09.09.2003;112,23
RUCBITR;10.09.2003;112,07
RUCBITR;11.09.2003;112,33
RUCBITR;12.09.2003;112,31
RUCBITR;15.09.2003;111,79
RUCBITR;16.09.2003;111,66
RUCBITR;17.09.2003;111,5
RUCBITR;18.09.2003;111,54
RUCBITR;19.09.2003;111,79
RUCBITR;22.09.2003;111,71
RUCBITR;23.09.2003;111,81
RUCBITR;24.09.2003;111,89
RUCBITR;25.09.2003;112,09
RUCBITR;26.09.2003;112,21
RUCBITR;29.09.2003;112,21
RUCBITR;30.09.2003;112,32
RUCBITR;01.10.2003;112,5
RUCBITR;02.10.2003;112,65
RUCBITR;03.10.2003;112,76
RUCBITR;06.10.2003;112,89
RUCBITR;07.10.2003;112,82
RUCBITR;08.10.2003;113,09
RUCBITR;09.10.2003;114,2
RUCBITR;10.10.2003;114,47
RUCBITR;13.10.2003;114,54
RUCBITR;14.10.2003;114,51
RUCBITR;15.10.2003;114,67
RUCBITR;16.10.2003;114,36
RUCBITR;17.10.2003;114,94
RUCBITR;20.10.2003;114,79
RUCBITR;21.10.2003;114,87
RUCBITR;22.10.2003;114,85
RUCBITR;23.10.2003;114,81
RUCBITR;24.10.2003;114,81
RUCBITR;27.10.2003;114,29
RUCBITR;28.10.2003;114,44
RUCBITR;29.10.2003;114,5
RUCBITR;30.10.2003;114,65
RUCBITR;31.10.2003;114,32
RUCBITR;03.11.2003;114,49
RUCBITR;04.11.2003;114,6
RUCBITR;05.11.2003;114,65
RUCBITR;06.11.2003;114,76
RUCBITR;10.11.2003;114,84
RUCBITR;11.11.2003;114,68
RUCBITR;12.11.2003;114,43
RUCBITR;13.11.2003;114,48
RUCBITR;14.11.2003;114,59
RUCBITR;17.11.2003;114,66
RUCBITR;18.11.2003;114,55
RUCBITR;19.11.2003;114,42
